radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,310,410,9882,199567809,-1,-80.9704,35.2268,1571,30,1,1683969739,1771369863,0
LTE,310,410,9882,199489474,-1,-80.9703,35.2314,851,29,1,1683969769,1771369863,0
LTE,310,410,9882,199567810,-1,-80.9699,35.2208,1000,21,1,1683969829,1770980661,0
LTE,310,410,9877,199540141,-1,-80.7028,35.2167,1955,26,1,1684085298,1744544345,0
LTE,310,410,9877,199573776,-1,-80.556,35.1078,1158,21,1,1684160259,1753804516,0
LTE,310,410,9872,199428245,-1,-80.8871,35.1807,1000,19,1,1684429890,1773448143,0
LTE,310,260,31720,15732237,0,-79.9911,32.847,538,50,1,1685222941,1740779778,0
LTE,310,260,31720,15732236,0,-79.9872,32.849,2039,24,1,1685222969,1740779778,0
LTE,310,260,31720,19942413,0,-79.9809,32.8513,1000,17,1,1685222976,1740779778,0
LTE,310,410,9869,199432364,-1,-80.8422,35.1016,3575,19,1,1685550232,1754192642,0
LTE,310,410,9872,199580355,-1,-80.9139,35.1889,1710,21,1,1685552882,1774030693,0
LTE,310,410,9882,198846755,-1,-80.9147,35.198,1000,20,1,1685553022,1770402905,0
LTE,310,410,9882,198846819,-1,-80.9144,35.1978,696,31,1,1685553032,1774030693,0
LTE,310,410,9872,198815587,-1,-80.9208,35.1909,1000,13,1,1685553682,1773434466,0
LTE,310,410,9872,198810659,-1,-80.8957,35.1634,500,30,1,1685553952,1740799809,0
LTE,310,410,9869,197616821,-1,-80.6762,35.0686,1311,50,1,1685729675,1752260523,0
LTE,310,410,9865,20518153,-1,-82.3861,35.2758,1599,18,1,1685960359,1779922694,0
LTE,310,410,10525,22554639,-1,-82.2887,35.2522,1000,21,1,1685960739,1776275401,0
LTE,310,410,10525,21876247,-1,-81.4079,35.0711,1428,24,1,1685966220,1779922741,0
LTE,310,410,9884,197485323,-1,-81.3573,35.0673,15919,16,1,1685966450,1779922741,0
LTE,310,410,9884,197485508,-1,-81.3443,35.0876,13497,14,1,1685966470,1774192929,0
LTE,310,410,9884,199192243,-1,-81.0794,34.9783,1965,29,1,1685967874,1779922742,0
LTE,310,410,9884,199119423,-1,-81.004,34.9765,1000,21,1,1685968299,1773505384,0
LTE,310,410,9859,199547658,-1,-80.9725,35.0068,1374,22,1,1685968983,1774981392,0
LTE,310,410,9859,199547656,-1,-80.9679,35.0196,907,37,1,1685969053,1774981392,0
LTE,310,410,9859,199399690,-1,-80.9682,35.0273,1030,37,1,1685969093,1774981392,0
LTE,310,410,9859,199399689,-1,-80.9616,35.0352,1130,38,1,1685969113,1774981392,0
LTE,310,410,9859,199578378,-1,-80.9586,35.0525,1174,50,1,1685969173,1774981391,0
