radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,310,410,9101,42243081,0,-85.3112,35.0441,5998,50,1,1458628853,1748327792,0
LTE,310,410,9101,42240522,0,-85.4151,34.9785,7395,27,1,1458628853,1779922812,0
LTE,310,410,9101,42256650,0,-85.3196,35.0711,2547,21,1,1458628854,1748327793,0
LTE,310,410,9101,42256649,0,-85.3147,35.0571,6363,50,1,1458628854,1748327792,0
LTE,310,410,9101,42342920,0,-85.3176,35.038,1073,27,1,1458628855,1773924601,0
LTE,310,410,9101,42247176,0,-85.3054,35.0256,8712,50,1,1458628854,1748327791,0
LTE,310,410,9101,42342921,0,-85.3089,35.0291,2821,29,1,1458628855,1773924542,0
LTE,310,410,9101,43011089,0,-85.3109,35.0549,1564,50,1,1458628856,1747012381,0
LTE,310,410,9108,42245128,0,-85.1033,34.9189,8418,40,1,1458628861,1743712151,0
LTE,310,410,9101,42246922,0,-85.2012,34.9843,3652,27,1,1458628854,1782929281,0
LTE,310,410,9101,42249482,0,-85.1501,35.0447,14938,18,1,1458628854,1779922811,0
LTE,310,410,9101,42247178,0,-85.3345,35.0238,3870,28,1,1458628854,1779922811,0
LTE,310,410,9101,42265361,0,-85.1604,35.0357,5996,50,1,1458628855,1776957061,0
LTE,310,410,9101,42267913,0,-85.2132,34.9996,1380,28,1,1458628855,1782929221,0
LTE,310,410,9101,42370057,0,-85.2682,35.0181,7306,27,1,1458628856,1782929041,0
LTE,310,410,9108,42245130,0,-85.1553,34.932,4504,50,1,1458628861,1782929581,0
LTE,310,410,9108,42247689,0,-85.13,35.0564,12690,50,1,1458628861,1767908161,0
LTE,310,410,9108,42245129,0,-85.147,34.9169,5835,50,1,1458628861,1782929701,0
LTE,310,410,9108,42397200,0,-84.9455,34.9594,3994,50,1,1458628863,1781830926,0
LTE,310,410,9108,42265864,0,-85.1259,34.905,4239,23,1,1458628862,1743712151,0
LTE,310,410,9108,42360329,0,-85.0577,35.0523,1375,48,1,1458628862,1743712152,0
LTE,310,410,9858,197250321,0,-80.9604,34.5625,5360,50,1,1458628871,1772067097,0
LTE,310,410,9859,197410576,0,-80.9287,35.0882,1399,50,1,1458628871,1744544401,0
LTE,310,410,9859,197420304,0,-80.9985,34.9084,4136,50,1,1458628871,1776258361,0
LTE,310,410,9108,42349321,0,-85.0599,34.8848,5455,27,1,1458628862,1748327786,0
LTE,310,410,9108,42356746,0,-85.0788,35.0835,9880,50,1,1458628862,1743712153,0
LTE,310,410,9858,197446672,0,-80.8837,34.749,4751,36,1,1458628871,1771556537,0
LTE,310,410,9858,197418256,0,-81.1878,34.6606,6334,16,1,1458628871,1774741209,0
LTE,310,410,9858,197249807,0,-81.256,34.7497,6813,23,1,1458628871,1774741207,0
LTE,310,410,9859,197410577,0,-80.9323,35.0993,972,26,1,1458628871,1740799809,0
LTE,310,410,9859,197386511,0,-80.9947,35.0004,2611,40,1,1458628871,1771627143,0
LTE,310,410,9108,42360330,0,-85.0771,35.0826,7538,50,1,1458628862,1743712153,0
LTE,310,410,9858,197249809,0,-81.2557,34.6896,4513,50,1,1458628871,1775433249,0
LTE,310,410,9858,197446671,0,-80.9248,34.8289,2161,38,1,1458628871,1771556530,0
LTE,310,410,9859,197485072,0,-80.8546,34.9996,1362,50,1,1458628871,1754620747,0
LTE,310,410,9858,197385231,0,-81.0364,34.7675,6148,17,1,1458628871,1771587247,0
LTE,310,410,9859,197386513,0,-81.0015,34.9759,5112,50,1,1458628871,1776258781,0
LTE,310,410,9859,197488399,0,-80.9194,35.0646,1075,50,1,1458628871,1739270832,0
LTE,310,410,9859,197420047,0,-80.8498,34.9673,2735,17,1,1458628871,1750212911,0
LTE,310,410,9869,197384214,0,-80.8405,35.0998,3013,27,1,1458660304,1747572203,0
LTE,310,410,9869,197400598,0,-80.8471,35.0616,852,26,1,1458660305,1778195822,0
LTE,310,410,9869,197407511,0,-80.8589,35.0886,1599,40,1,1458660305,1777879210,0
LTE,310,410,9869,197409558,0,-80.8427,35.0724,1181,33,1,1458660305,1778195822,0
LTE,310,410,9869,197400600,0,-80.8474,35.0621,2724,30,1,1458660305,1758100756,0
LTE,310,410,9869,199578639,0,-80.8199,35.0625,913,26,1,1458660307,1777879211,0
LTE,310,410,9869,197384216,0,-80.8508,35.0865,1347,32,1,1458660304,1777879210,0
LTE,310,410,9869,197384215,0,-80.8318,35.0846,803,43,1,1458660304,1750212909,0
LTE,310,410,9869,197409560,0,-80.8433,35.0669,1000,22,1,1458660305,1777879205,0
LTE,310,410,9869,197407512,0,-80.8759,35.0948,1937,27,1,1458660305,1771551792,0
LTE,310,410,9869,197422104,0,-80.8502,35.022,852,50,1,1458660305,1754620747,0
LTE,310,410,9869,197383960,0,-80.9088,35.0896,1733,28,1,1458660304,1771735088,0
LTE,310,410,9869,197400599,0,-80.8472,35.0502,1411,26,1,1458660305,1771924997,0
LTE,310,410,9869,197409302,0,-80.8835,35.0862,3034,44,1,1458660305,1771735088,0
LTE,310,410,9869,197383959,0,-80.875,35.0913,2577,33,1,1458660304,1771735088,0
LTE,310,410,9869,197407510,0,-80.8636,35.0972,2798,22,1,1458660305,1777879210,0
LTE,310,410,9869,197409559,0,-80.8271,35.0631,1000,23,1,1458660305,1776351020,0
LTE,310,410,9869,197422102,0,-80.8502,35.036,902,50,1,1458660305,1754620747,0
LTE,310,410,9869,197409303,0,-80.8704,35.0752,1000,21,1,1458660305,1776831065,0
LTE,310,410,9884,197400079,0,-81.0832,34.9772,688,28,1,1458660327,1775773442,0
LTE,310,410,9884,197499151,0,-81.039,34.9277,4016,50,1,1458660327,1771801206,0
LTE,310,410,9884,197400081,0,-81.0952,34.9638,2126,9,1,1458660327,1775773442,0
LTE,310,410,10500,20538890,0,-81.3708,34.1751,3025,50,1,1458660385,1775433271,0
LTE,310,410,10500,20928015,0,-81.3651,34.1296,4261,14,1,1458660386,1775433271,0
